id,owner_name,owner_id,contact_name,mob,owner_contact_email,
4662,Param Jeeth Singh,4660,Khaitan Logistics Pvt. Ltd,9116160810,"pramjeet.singh@khaitanmail.com, service@khaitanmail.com, Ajay.gaur@khaitanmail.com",
5842,Mata Road Carrier Pvt. Ltd,5842,Mata Road Carrier Pvt. Ltd,9861860315,ayush.mrcpl@gmail.com,
7289,New Jai Shanker Transport Co,7289,New Jai Shanker Transport Co,9694681120,"njstcrlpl@gmail.com, narender.saini5145@gmail.com",
7964,NTC Logistics India Pvt. Ltd,7964,NTC Logistics India Pvt. Ltd,1234567899,"cscmaint@ntcgroup.in, pugazhendhi.buchi@ntcgroup.in",
8829,Parasmani Road Lines Pvt. Ltd,8829,,,0,
22925,MANOPRAKESH,22916,Ahemed rafik,9655219288,ahemed123@gmail.com,
10605,Prasanna Purple Mobility Solutions Pvt. Ltd,10605,Dhirender Vijay,9728882005,"dhirender@prasannapurple.com, vijayd@prasannapurple.com",
10833,PRM Roadways Pvt. Ltd,10833,PRM Roadways Pvt. Ltd,123456789,info@prmtransport.com,
11615,R Sai Logistics India Pvt. Ltd,11615,R Sai Logistics India Pvt. Ltd,7089960000,amc@rsailogistics.com,
23009,Vraj Cement Carrier LLP,22959,Vraj Cement Carrier LLP,9948180963,nvarma@vrajindia.com,
22976,Ritco - Manglore,22950,sohanlal@ritcologistics.com,1234567899,"sohanlal@ritcologistics.com, dineshkumar@ritcologistics.com, charansingh@ritcologistics.com",
22977,Transport Corporations Of India Ltd,17293,srs.lho@tciscs.com;soumya.mishra@tciscs.com,1234567899,"srs.lho@tciscs.com, soumya.mishra@tciscs.com, vts.lho@tciscs.com, vivek.singh@tciscs.com, kishan.bhakar@tciscs.com",
22978,Varuna Intergate Logistics Pvt.Ltd,17535,srinivasan.bhavan@varuna.net,1234567899,"srinivasan.bhavan@varuna.net, ashutosh.verma@varuna.net",
22979,VRL Logistics Ltd,19238,bapu@vrllogistics.com,1234567899,"bapu@vrllogistics.com, aldchbl@vrllogistics.com",
22980,Aravali cargo movers Private Limited,1865,aravalicargo@gmail.com,1234567899,"aravalicargo@gmail.com, dr.mannu.choudhary@gmail.com",
22981,H.G.Infra Engineering Ltd,3380,amit.jangir@hginfra.com,1234567899,"amit.jangir@hginfra.com, gaurav.sharma@hginfra.com",
22999,ANAND,22952,9467208180,9467208180,narender96@gmail.com,
11975,Rajesh Cargo Movers India Pvt. Ltd,11975,Rajesh Cargo Movers India Pvt. Ltd,9870907121,"prashant.shetkar@rajeshrlines.com, rajesh.rane@rajeshrlines.com, kalamboli@rajeshrlines.com",
12156,Ritco Logistics Pvt. Ltd,12156,Ritco Logistics Pvt. Ltd,7482002206,"dineshkumar@ritcologistics.com, charansingh@ritcologistics.com",
22974,RITCO - Guwahati,22948,janmejaysingh@ritcologistics.com,124567899,"janmejaysingh@ritcologistics.com, dineshkumar@ritcologistics.com, charansingh@ritcologistics.com",
12959,S R S Travels,12959,S R S Travels,1234567899,workshopsrs@gmail.com,
13743,Shree Hatkeshwara Translines Pvt. Ltd,13743,Shree Hatkeshwara Translines Pvt. Ltd,9326956965,AMIT@SHREEHATKESHWARA.COM,
23011,LAKHAMI MOTOR PVT LTD,22960,ARVIND KORI,8004179920,0,
22987,Agrawal Roadlines Pvt. Ltd,372,Agrawal Roadlines,1234567899,"singh.sukhjinder99@gmail.com, SAINI197212@gmail.com, murrliiyer@gmail.com, jagrajsp62@gmail.com, mjoshi.0523@gmail.com",
22988,M R Shah Logistics Pvt. Ltd,5655,documents@mrshahgroup.com,124567899,documents@mrshahgroup.com,
22989,Jothi LPG Transport,4131,Jothi LPG Transport,1234567899,"jothilorryservice@yahoo.com, jothilpgtransport@gmail.com",
14889,Shree Rama Roadways,14889,Shree Rama Roadways,1234567899,srr.rkbatra@gmail.com,
15397,Sri Ramanjaneya Lorry Service,15397,Sri Ramanjaneya Lorry Service,9494464692,srals1199@gmail.com,
15731,Sri Venkatramana Transports,15731,Sri Venkatramana Transports,9688618000,svt.vijayakumar@gmail.com,
15970,TANUSHREE LOGISTICS PRIVATE LIMITED,15970,TANUSHREE LOGISTICS PRIVATE LIMITED,7726010027,"Rajeevsharma8799@gmail.com, Randm@tlpl.net, rohitprajapati847@gmail.com",
15971,TANUSHREE LOGISTICS PRIVATE LIMITED,15970,Rajeev Sharma,7726010027,"Rajeevsharma8799@gmail.com, Randm@tlpl.net, rohitprajapati847@gmail.com",
22982,PNC Infratech Ltd,9556,hopurchase1@pncinfratech.com,1234567899,hopurchase1@pncinfratech.com,
22983,APCO Infratech Pvt. Ltd,1291,mechanical.ho@apcoinfra.com,1234567899,"mechanical.ho@apcoinfra.com, mechanical@apcoinfra.com",
22984,S R S Mining,12571,venkatdurai@gmail.com,1234567899,"blacksir1991@gmail.com, skphyaha@gmail.com, venkatdurai@gmail.com",
22985,Thunaivan Transport,16834,thunaivan.nkl@gmail.com,1234567899,thunaivan.nkl@gmail.com,
18596,Venture Supply Chain Pvt. Ltd,18596,Anil,9354938662,anil.kumar@vscpl.in,
18925,Vraj Cement Carrier LLP,18925,Vraj Cement Carrier LLP,9948180963,nvarma@vrajindia.com,
22226,Best Roadways Ltd,22226,Best Roadways Ltd,9812279655,"sangwari@brl.in, container@brl.in, bhimsharma@brl.in",
22672,Heavy Transport Corporation,3534,Heavy transport,1234567899,dalbirsingh.sons@rediffmail.com,
22888,NULL,22888,driver,9877665498,44646@gmil.com,
22889,NULL,22889,Nitesh,9380250691,niteshravi64@gmail.com,
22890,NULL,22890,UMME HAANI,7259054552,test@gmail.com,
22891,UMME HAANI,22891,UMME HAANI,7259054552,UMME.HAANI@GMAIL.COM,
22892,NULL,22892,Praveen,8095452807,test@al,
22893,NULL,22893,ARSHIYA,8050805078,SOLUTION@TEST.COM,
22894,NULL,22894,Madhur Bhati,9818392956,madhur_feb14@hotmail.com,
22895,VRAJ CEMENT CARRIER LLP - (Tadapatri),22902,acc.tdp@vrajindia.com,1234567899,acc.tdp@vrajindia.com,
22896,VRAJ CEMENT CARRIER LLP - (Tadapatri),22902,nvarma@vrajindia.com,1234567899,nvarma@vrajindia.com,
22897,VRAJ CEMENT CARRIER LLP - (Mumbai),22901,dkmishra@vrajindia.com,1234567899,dkmishra@vrajindia.com,
22898,VRAJ CEMENT CARRIER LLP - (Kudatini),22900,acc.bellary@vrajindia.com,1234567899,acc.bellary@vrajindia.com,
22899,VRAJ CEMENT CARRIER LLP - (Jamalamadagu),22899,nvarma@vrajindia.com,1245678999,nvarma@vrajindia.com,
22900,VRAJ CEMENT CARRIER LLP - (Jaggaiahpet),22898,asturakhia@vrajindia.com,1234564565,asturakhia@vrajindia.com,
22901,VRAJ CEMENT CARRIER LLP - (Ginigera),22897,acc.gng@vrajindia.com,2222222222,acc.gng@vrajindia.com,
22902,VRAJ CEMENT CARRIER LLP - (Chittapur),22896,vcc.ctp@vrajindia.com,3333333333,vcc.ctp@vrajindia.com,
22903,VRAJ CEMENT CARRIER LLP - (Arakkonam),22895,acc.ark@vrajindia.com,1232323222,acc.ark@vrajindia.com,
22904,VRAJ CEMENT CARRIER LLP - (Chittapur),22896,nvarma@vrajindia.com,1111111111,nvarma@vrajindia.com,
22905,VRAJ CEMENT CARRIER LLP - (Arakkonam),22895,nvarma@vrajindia.com,3333333333,nvarma@vrajindia.com,
22906,VRAJ CEMENT CARRIER LLP - (Ginigera),22897,nvarma@vrajindia.com,3333333333,nvarma@vrajindia.com,
22907,VRAJ CEMENT CARRIER LLP - (Jaggaiahpet),22898,nvarma@vrajindia.com,3333333333,nvarma@vrajindia.com,
22908,VRAJ CEMENT CARRIER LLP - (Kudatini),22900,nvarma@vrajindia.com,6666666666,nvarma@vrajindia.com,
22909,VRAJ CEMENT CARRIER LLP - (Mumbai),22901,nvarma@vrajindia.com,2222222222,nvarma@vrajindia.com,
22910,VRAJ CEMENT CARRIER LLP - (Tadapatri),22902,nvarma@vrajindia.com,6666666666,nvarma@vrajindia.com,
22970,Delhi Gujrat Fleet Carrier Pvt. Ltd,2444,store45@dgfc.in,1234567899,store45@dgfc.in,
22911,NULL,0,KARANJEET SINGH,9935781556,JAJAPUR@SUPERSONICCARRER.COM,
22912,raish khan,22904,manish,9821956683,na@gmail.com,
22913,BALASUBRAMANI,22905,SENDEL VEL,9976077082,,
22914,NULL,0,KARANJEET SINGH,9935781556,JAJAPUR@SUPERSONICCARRER.COM,
22915,NULL,0,SENDEL VEL,9976077082,sendel152@gmail.com,
22916,BALASUBRAMANI,22907,SENDEL VEL,9976077082,sendel152@gmail.com,
22975,RITCO - Panipat,22949,vivektyagi@ritcologistics.com,1234567899,"vivektyagi@ritcologistics.com, dineshkumar@ritcologistics.com, charansingh@ritcologistics.com",
22990,KFT Logistics,4396,KFT Logistics,1234567899,kftworkshop@gmail.com,
22917,SRI VENKATARAMANATRANSPOST,22909,SURYA,8838240161,,
22918,DEPIAK,22910,VIJAYA SINGH,9532070609,,
22919,MANOPRAKASH,22911,AHEMED RAFIK,9655219288,ahemded123@gmail.com,
22920,Ritco Logistics Pvt. Ltd,12156,Dinesh Kumar,9454578048,"dineshkumar@ritcologistics.com, charansingh@ritcologistics.com",
22922,bittu,22914,bittu,8222003708,,
22923,NULL,0,AHEMED RAFIK,9655219288,AHEMED123@GMAIL.COM,
22924,MANOPRAKESH,22915,AHEMED RAFIK,9655219288,AHEMED123@GMAIL.COM,
22926,bittu,22917,bittu,8222003708,,
22927,bittu,22918,bittu,8222003708,rrbbc09@gamail.com,
22928,NULL,0,SUDHAKARAN,9003070346,,
22929,KARTHIK,22919,SUDHAKARAN,9003070346,sudhakar123@gmail.com,
22930,KARTHIK,22921,SUDHAKARAN,9003070346,SUDHAKAR123@GMAIL.COM,
22931,NULL,0,liyaqauth ali,8094345971,,
22932,sitaram yadav,22922,liyaqauth ali,8094345971,,
22933,janmejey,22923,janmejey,8951065178,,
22934,SITA RAM,22924,LIYAKATH ALI,6376809547,,
22936,VENTAK,22925,,9813095475,ACCOUNTS.BIJAPUR@TVS.IN,
22937,vantak,22926,islam,9926102122,accounts.bijapur@tvs.in,
22938,Express Roadways Pvt L,22927,Express Roadways Pvt,8722798526,expressroadways@gmail.com,
22939,NULL,0,RAM KISHAN,8218617984,,
22986,PARASMANI ROAD LINES PVT LTD,22942,Amar,1234567899,"syedprpl@gmail.com, raishprpl@gmail.com, manish@prplmail.com, Amarsurwadeprpl@gmail.com",
22940,R SAI LOGISTIC,22928,RAM KISHAN,8218617984,ANC@RSAILOGISTIC.COM,
22942,Agrawal Roadlines Pvt. Ltd,372,AGARWAL ROADLINES PVT,9825226777,jatin@agrawalgroup.in,
22943,NULL,0,R SAI LOGISTICS,6232640996,,
22944,R SAI LOGISTICS PVT LTD,22930,R SAI LOGISTICS,6232640996,sailogistics@gmail.com,
22945,r sai logistics,22931,r sai logistics,8218617984,,
22946,KRISHAN ATUO CENTER,22932,KRISHAN ATUO CENTER,9099072094,murrliiyer@gmail.com,
22969,Vraj Cement Carrier LLP,22951,Vraj Cement Carrier LLP,9948180963,nvarma@vrajindia.com,
22948,KRISHAN ATUO CENTER,22933,KRISHAN ATUO CENTER,9099072094,murrliiyer@gmail.com,
22949,abhayji,22934,abhayji,9340211631,amc@rsailogistics.com,
22950,NULL,0,RAVIRAJ YADHAV,7010167966,ravirajyadhav123@gmail.com,
22951,NULL,0,RAVIRAJ YADHAV,7010167966,ravirajyadhav123@gmail.com,
22968,BP SAINI,22946,BP SAINI,9099072080,saini197212@gmail.com,
22953,MAHESH,22937,MAHESH,9449867241,,
22973,RITCO - Surat,22947,souravkumar@ritcologistics.com,1234567899,"souravkumar@ritcologistics.com, dineshkumar@ritcologistics.com, charansingh@ritcologistics.com",
22954,ramesh,22938,JABASTIN,7094436483,sebaheinsam1997@gamil.com,
22955,JEBASTIN,22939,JEBASTIN,7094436483,sebaheinsam1997@gamil.com,
22956,VRAJ CEMENT CARRIER LLP,22940,MUSTHAFA,9972343236,musthafa123@gmail.com,
22957,NULL,0,JEBASTIN,7094436483,chandrashekar369176@gmail.com,
22958,jebstin,22941,jebstin,7094436483,,
22959,NULL,0,VISHNU,9140231287,,
22960,PARASMANI ROAD LINES PVT LTD,22942,VISHNU,9140231287,NULL,
22963,Parasmani Road Lines Pvt. Ltd,8829,Parasmani Road Lines Pvt. Ltd,7014566748,raishprpl@gmail.com,
22962,Ritco Logistics Pvt. Ltd,12156,Ritco Logistics Pvt. Ltd,8583827682,"souravkumar@ritcologistics.com, dineshkumar@ritcologistics.com, charansingh@ritcologistics.com",
22967,SMP CARRIERS INDIA PVT LTD,22945,ramesh,6385163096,rameshdevaraj.nkl@gmail.com,
22965,raj saini,22943,raj saini,9099072080,agarwal@agawalgroup.in,
22966,NULL,0,sourab agarwal,8342027049,na@gmail.com,
23000,G V Gandhi,22953,G V Gandhi,9490306189,srals1199@gmail.com,
