"id","vehicle_id","owner_name","owner_mob","owner_landline","owner_cat","owner_company","alse_mail","asm_mail","flag","created_at","updated_at","rsm_mail","reg"
"5842",NULL,"Mata Road Carrier Pvt. Ltd",,,,"Mata Road Carrier Pvt. Ltd","ManojKanta.Padhy@ashokleyland.com","Amit.Chauhan@ashokleyland.com, Abhinav.Prateek@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:04:28","Amit.Chauhan@ashokleyland.com;Abhinav.Prateek@ashokleyland.com","CG04LS5200"
"5930",NULL,"Megha Engineering And Infrastructures Ltd",NULL,NULL,"Select Category","Megha Engineering And Infrastructures Ltd","Kiran.R@ashokleyland.com","Timmappa.Bennur@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:07:19","Timmappa.Bennur@ashokleyland.com","OD33Q9336"
"6613",NULL,"My Home Constructions Pvt. Ltd",NULL,NULL,"Select Category","My Home Constructions Pvt. Ltd","Kiran.R@ashokleyland.com","Timmappa.Bennur@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:07:35","Timmappa.Bennur@ashokleyland.com","AP09W9530"
"6999",NULL,"Navayuga Engineering Company Ltd",NULL,NULL,"Select Category","Navayuga Engineering Company Ltd","Sunil.kumar1@ashokleyland.com","Kiran.R@ashokleyland.com, Timmappa.Bennur@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:08:04","Kiran.R@ashokleyland.com;Timmappa.Bennur@ashokleyland.com","AP22X5933"
"7289",NULL,"New Jai Shanker Transport Co","9694681120",NULL,"Select Category","New Jai Shanker Transport Co","DilzanArif.MD@ashokleyland.com","Imran.khan@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:56:49","Imran.khan@ashokleyland.com","RJ14GC1242"
"7759",NULL,"New Morning Star Travels",NULL,NULL,"Select Category","New Morning Star Travels","gireesh.vl@ashokleyland.com","Boni.Suryanarayana@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:20:21","Boni.Suryanarayana@ashokleyland.com","AP07TC0444"
"7964",NULL,"NTC Logistics India Pvt. Ltd","1234567899",NULL,"Select Category","NTC Logistics India Pvt. Ltd","Gopinath.V2@ashokleyland.com","Suresh.J@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:31:28","Suresh.J@ashokleyland.com","NL02G3810"
"8088",NULL,"Omkar Translogistics Pvt. Ltd",NULL,NULL,"Select Category","Omkar Translogistics Pvt. Ltd","Kiran.R@ashokleyland.com","Timmappa.Bennur@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:19:22","Timmappa.Bennur@ashokleyland.com","AP29V7855"
"8829",NULL,"Parasmani Road Lines Pvt. Ltd","7014566748",,,"Parasmani Road Lines Pvt. Ltd","Sachin.Bonde@ashokleyland.com","pramod.joshi@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:58:48","pramod.joshi@ashokleyland.com","MH04EY2440"
"9197",NULL,"Parthasarathy Transports Pvt. Ltd","9666683919",,,"Parthasarathy Transports Pvt. Ltd","Kiran.R@ashokleyland.com","Timmappa.Bennur@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:19:35","Timmappa.Bennur@ashokleyland.com","TS29T2199"
"9556",NULL,"PNC Infratech Ltd",NULL,NULL,"Select Category","PNC Infratech Ltd","Ravi.Kantsharma1@ashokleyland.com","Bijan.Debnath@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:57:24","Bijan.Debnath@ashokleyland.com","UP83H9626"
"10605",NULL,"Prasanna Purple Mobility Solutions Pvt. Ltd","9728882005",NULL,"Select Category","Prasanna Purple Mobility Solutions Pvt. Ltd","durgaprasad.dvs@ashokleyland.com","Kapil.Parab@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:00:12","Kapil.Parab@ashokleyland.com","MH14DM9762"
"10833",NULL,"PRM Roadways Pvt. Ltd","1234567899",NULL,"Select Category","PRM Roadways Pvt. Ltd","Gopinath.V2@ashokleyland.com","Suresh.J@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:31:55","Suresh.J@ashokleyland.com","TN21AB9490"
"11615",NULL,"R Sai Logistics India Pvt. Ltd","7089960000",,,"R Sai Logistics India Pvt. Ltd","RiteshKumar.Singh@ashokleyland.com","Rachhpal.Singh@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:52:10","Tapan.Sarda@ashokleyland.com","NL01Q4080"
"11975",NULL,"Rajesh Cargo Movers India Pvt. Ltd","9870907121",NULL,"Select Category","Rajesh Cargo Movers India Pvt. Ltd","Shedgesachin.Vitthal@ashokleyland.com","KEVIN.JOSE@ashokleyland.com, pramod.joshi@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:59:56","KEVIN.JOSE@ashokleyland.com;pramod.joshi@ashokleyland.com","MH46BM1574"
"12156",NULL,"Ritco Logistics Pvt. Ltd","8583827682",,,"Ritco Logistics Pvt. Ltd","Sachin.Bonde@ashokleyland.com","Tapan.Sarda@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 16:34:29","Tapan.Sarda@ashokleyland.com","UP78CT0315"
"22903",NULL,"KASHMITAL",,,,"SUPERSONICLOGISTIC","JAJAPUR@SUPERSONICCARRER.COM","JAJAPUR@SUPERSONICCARRER.COM","1","2021-05-01 14:18:44",NULL,NULL,NULL
"12571",NULL,"S R S Mining",NULL,NULL,"Select Category","S R S Mining","kumaresan.g2@ashokleyland.com","Esakkimuthu.M@ashokleyland.com, Karthik.M.B@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:57:56","Esakkimuthu.M@ashokleyland.com;Karthik.M.B@ashokleyland.com","TN55S1276"
"12959",NULL,"S R S Travels","1234564565",NULL,"Select Category","S R S Travels","Gopi.Singh@ashokleyland.com","Venkatachalam.A@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:27:04","Venkatachalam.A@ashokleyland.com","TN22CK3850"
"13743",NULL,"Shree Hatkeshwara Translines Pvt. Ltd","9326956965",,,"Shree Hatkeshwara Translines Pvt. Ltd","durgaprasad.dvs@ashokleyland.com","Kapil.Parab@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:00:47","Kapil.Parab@ashokleyland.com","MH12MV0998"
"14889",NULL,"Shree Rama Roadways",NULL,NULL,"Select Category","Shree Rama Roadways","Tapan.Sarda@ashokleyland.com","Tapan.Sarda@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:36:54","0","CG04HP8732"
"15397",NULL,"Sri Ramanjaneya Lorry Service","9989660798","9494464692",,"Sri Ramanjaneya Lorry Service","Boni.Suryanarayana@ashokleyland.com","Boni.Suryanarayana@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:20:41","Boni.Suryanarayana@ashokleyland.com","AP7Y6779"
"15731",NULL,"Sri Venkatramana Transports","9688618000",,,"Sri Venkatramana Transports","poovananthan.m@ashokleyland.com","Ashish.David@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:06:07","Ashish.David@ashokleyland.com;Karthik.M.B@ashokleyland.com","TN37AQ4929"
"15970",NULL,"TANUSHREE LOGISTICS PRIVATE LIMITED","7726010027",NULL,"Select Category","TANUSHREE LOGISTICS PRIVATE LIMITED","SanthoshKannan.K@ashokleyland.com","Imran.khan@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:57:08","Imran.khan@ashokleyland.com","BR26GA5197"
"16691",NULL,"Thirumala Cabs (Orange )",NULL,NULL,"Select Category","Thirumala Cabs (Orange )","MahammadQadeer.Shaik@ashokleyland.com","Kiran.R@ashokleyland.com, Timmappa.Bennur@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:19:50","Kiran.R@ashokleyland.com;Timmappa.Bennur@ashokleyland.com","TS16UA5750"
"16834",NULL,"Thunaivan Transport",NULL,NULL,"Select Category","Thunaivan Transport","dhanasekar.m@ashokleyland.com","Esakkimuthu.M@ashokleyland.com, Karthik.M.B@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:58:14","Esakkimuthu.M@ashokleyland.com;Karthik.M.B@ashokleyland.com","HR47A6263"
"17293",NULL,"Transport Corporations Of India Ltd",NULL,NULL,"Select Category","Transport Corporations Of India Ltd","Prashant.singh@ashokleyland.com","Rachhpal.Singh@ashokleyland.com, Tapan.Sarda@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:54:31","Rachhpal.Singh@ashokleyland.com;Tapan.Sarda@ashokleyland.com","CG04JA5740"
"17535",NULL,"Varuna Intergate Logistics Pvt.Ltd",NULL,NULL,"Select Category","Varuna Intergate Logistics Pvt.Ltd","neeraj.guleria@ashokleyland.com","Rachhpal.Singh@ashokleyland.com, Tapan.Sarda@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:54:46","Rachhpal.Singh@ashokleyland.com;Tapan.Sarda@ashokleyland.com","NL01Q7095"
"18596",NULL,"Venture Supply Chain Pvt. Ltd","9354938662",,,"Venture Supply Chain Pvt. Ltd","Rachhpal.Singh@ashokleyland.com","Tapan.Sarda@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:55:18","Tapan.Sarda@ashokleyland.com","HR55Y9035"
"18925",NULL,"Vraj Cement Carrier LLP","9948180963",,,"Vraj Cement Carrier LLP","Sachin.Bonde@ashokleyland.com","pramod.joshi@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:59:13","pramod.joshi@ashokleyland.com","MH46AR7467"
"19238",NULL,"VRL Logistics Ltd",NULL,NULL,"Select Category","VRL Logistics Ltd","Joseph.Paul@ashokleyland.com","Timmappa.Bennur@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:55:39","Timmappa.Bennur@ashokleyland.com","KA25B5302"
"22226",NULL,"Best Roadways Ltd","9812279655",NULL,"Select Category","Best Roadways Ltd","Jhonraj.K@ashokleyland.com, KEVIN.JOSE@ashokleyland.com","pramod.joshi@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:58:35","pramod.joshi@ashokleyland.com","MH04EL9735"
"22453",NULL,"Interglobe Aviation Ltd (INDIGO)",NULL,NULL,"Select Category","Interglobe Aviation Ltd (INDIGO)","Rachhpal.Singh@ashokleyland.com","Tapan.Sarda@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 13:50:49","Tapan.Sarda@ashokleyland.com","AP39T7729"
"22672",NULL,"Harsh Enterprises","9999999999",NULL,"Select Category","Harsh Enterprises","Prem.sahu@ashokleyland.com","Amit.Chauhan@ashokleyland.com, Abhinav.Prateek@ashokleyland.com","1","2021-04-01 11:03:08","2021-05-06 14:03:51","Amit.Chauhan@ashokleyland.com;Abhinav.Prateek@ashokleyland.com","MP06GA2228"
"22896",NULL,"VRAJ CEMENT CARRIER LLP - (Chittapur)","1234567811",NULL,"Select Category","VRAJ CEMENT CARRIER LLP - (Chittapur)","Sachin.Bonde@ashokleyland.com","pramod.joshi@ashokleyland.com","1","2021-04-30 17:31:33",NULL,NULL,NULL
"22891",NULL,"UMME HAANI","7259054552","7259054552",,"UMME HAANI PVT LTD","UMME.HAANI@GMAIL.COM","UMME.HAANI@GMAIL.COM","1","2021-04-09 11:12:12",NULL,NULL,NULL
"22895",NULL,"VRAJ CEMENT CARRIER LLP - (Arakkonam)","1234567899",NULL,"Select Category","VRAJ CEMENT CARRIER LLP - (Arakkonam)","Sachin.Bonde@ashokleyland.com","pramod.joshi@ashokleyland.com","1","2021-04-30 17:30:52",NULL,NULL,NULL
"22945",NULL,"SMP CARRIERS INDIA PVT LTD","9965552700",,,"SMP CARRIERS INDIA PVT LTD","smpcarriers@smpgroup.in","smpcarriers@smpgroup.in","1","2021-05-06 12:06:10",NULL,NULL,NULL
"22944",NULL,"sourab agarwal","8342027049",,,"RITCO LOGISTIC PVT LTD","TusharRamdas.Satpu@ashokleyland.com","na@gmail.com","1","2021-05-06 08:50:12",NULL,NULL,NULL
"22897",NULL,"VRAJ CEMENT CARRIER LLP - (Ginigera)","1234567812",NULL,"Select Category","VRAJ CEMENT CARRIER LLP - (Ginigera)","Sachin.Bonde@ashokleyland.com","pramod.joshi@ashokleyland.com","1","2021-04-30 17:32:08",NULL,NULL,NULL
"22898",NULL,"VRAJ CEMENT CARRIER LLP - (Jaggaiahpet)","1234567813",NULL,"Select Category","VRAJ CEMENT CARRIER LLP - (Jaggaiahpet)","Sachin.Bonde@ashokleyland.com","pramod.joshi@ashokleyland.com","1","2021-04-30 17:32:40",NULL,NULL,NULL
"22899",NULL,"VRAJ CEMENT CARRIER LLP - (Jamalamadagu)","1234567814",NULL,"Select Category","VRAJ CEMENT CARRIER LLP - (Jamalamadagu)","Sachin.Bonde@ashokleyland.com","pramod.joshi@ashokleyland.com","1","2021-04-30 17:33:11",NULL,NULL,NULL
"22900",NULL,"VRAJ CEMENT CARRIER LLP - (Kudatini)","1234567815",NULL,"Select Category","VRAJ CEMENT CARRIER LLP - (Kudatini)","Sachin.Bonde@ashokleyland.com","pramod.joshi@ashokleyland.com","1","2021-04-30 17:33:41",NULL,NULL,NULL
"22901",NULL,"VRAJ CEMENT CARRIER LLP - (Mumbai)","1234567816",NULL,"Select Category","VRAJ CEMENT CARRIER LLP - (Mumbai)","Sachin.Bonde@ashokleyland.com","pramod.joshi@ashokleyland.com","1","2021-04-30 17:34:28",NULL,NULL,NULL
"22902",NULL,"VRAJ CEMENT CARRIER LLP - (Tadapatri)","1234567816",NULL,"Select Category","VRAJ CEMENT CARRIER LLP - (Tadapatri)","Sachin.Bonde@ashokleyland.com","pramod.joshi@ashokleyland.com","1","2021-04-30 17:35:27",NULL,NULL,NULL
"22904",NULL,"raish khan","7014566748",,,"paras mani road line","ashutohs.Ballabh@ashokleyland.com","gopi.singh@ashokleyland.com","1","2021-05-01 14:47:27",NULL,NULL,NULL
"22905",NULL,"BALASUBRAMANI","9688418000",,,"BULE IN AND STEEL COMPAY",,,"1","2021-05-01 15:00:03",NULL,NULL,NULL
"22906",NULL,"KASHMITAL",,,,"SUPERSONICLOGISTIC","JAJAPUR@SUPERSONICCARRER.COM","JAJAPUR@SUPERSONICCARRER.COM","1","2021-05-01 15:23:19",NULL,NULL,NULL
"22907",NULL,"BALASUBRAMANI","9688418000",,,"BLUE IN AND STEEL COMPANY","Ronak.Luhar@ashokleyland.com","Mohammed.Riyaz@ashokleyland.com","1","2021-05-01 15:32:22",NULL,NULL,NULL
"22908",NULL,"paras mani road lines pvt ltd","7014566748",,,"paras mani road lines pvt ltd","adityaagency.service@gmail.com","adityaagency.service@gmail.com","1","2021-05-01 17:16:11",NULL,NULL,NULL
"22909",NULL,"SRI VENKATARAMANATRANSPOST","9698718000",,,"SRI VENKATARAMANATRANSPOST",,,"1","2021-05-02 08:09:09",NULL,NULL,NULL
"22910",NULL,"DEPIAK","9818744444","9818744444",,"DEHLI GUJRAT TRADE CARER PVT AND LMT","N/A","N/A","1","2021-05-02 09:11:04",NULL,NULL,NULL
"22911",NULL,"MANOPRAKASH","9080468794",,,"NTC LOGISTOTIC PVT LTD","Amey.Shrinivas@ashokleyland.com","Amit.Kumar4@ashokleyland.com","1","2021-05-02 09:49:43",NULL,NULL,NULL
"22912",NULL,"BITU","8222003708",,,"RR BAROTOR LOGISTICS",,,"1","2021-05-02 09:54:03",NULL,NULL,NULL
"22913",NULL,"BITTU",,,,,,,"1","2021-05-02 10:21:19",NULL,NULL,NULL
"22914",NULL,"bittu","8222003708",,,"RR brochers logistics","Chandan.singh3@ashokleyland.com","shrikantkhade.N@ashokleyland.com","1","2021-05-02 10:24:18",NULL,NULL,NULL
"22915",NULL,"MANOPRAKESH","9080468794",,,"NTC LOGISTIC PVT LTD","SIVAKUMAR.N@ashokleyland.com","Gopi.Singh@ashokleyland.com","1","2021-05-02 10:30:19",NULL,NULL,NULL
"22916",NULL,"MANOPRAKESH","9080468794",,,"NTC LOGITIC PVT LTD","SIVAKUMAR.N@ashokleyland.com","Gopi.Singh@ashokleyland.com","1","2021-05-02 10:35:00",NULL,NULL,NULL
"22917",NULL,"bittu","8222003708",,,"RR brochers logistics","Chandan.singh3@ashokleyland.com","shrikantkhade.N@ashokleyland.com","1","2021-05-02 11:25:36",NULL,NULL,NULL
"22918",NULL,"bittu","8222003708",,,"RR brochers logistics","Chandan.singh3@ashokleyland.com","shrikantkhade.N@ashokleyland.com","1","2021-05-02 12:07:59",NULL,NULL,NULL
"22919",NULL,"KARTHIK","9942366666",,,"BALU IRON AND STEEL",,,"1","2021-05-02 13:16:42",NULL,NULL,NULL
"22920",NULL,"KARTHIK","9942366666",,,"BALU IRON AND STEEL","selvakumar.p@ashokleyland.com","durgaprasad.dvs@ashokleyland.com","1","2021-05-02 13:44:44",NULL,NULL,NULL
"22921",NULL,"KARTHIK","9942366666",,,"BALU IRON AND STEEL","Poovaragavan.K@ashokleyland.com","Ashish.David@ashokleyland.com","1","2021-05-02 13:53:02",NULL,NULL,NULL
"22922",NULL,"sitaram yadav","9875075014",,,"baba",,,"1","2021-05-02 15:54:54",NULL,NULL,NULL
"22923",NULL,"janmejey","8583827682",,,"ritco logistics","Chandan.singh3@ashokleyland.com",,"1","2021-05-02 16:13:10",NULL,NULL,NULL
"22924",NULL,"SITA RAM","9875075014",,,"BABA",,,"1","2021-05-02 16:36:34",NULL,NULL,NULL
"22925",NULL,"VENTAK","9926102122",,,"VENTAK","ACCOUNTS.BIJAPUR@TVS.IN","ACCOUNTS.BIJAPUR@TVS.IN","1","2021-05-02 18:13:54",NULL,NULL,NULL
"22926",NULL,"vantak","9926102122",,,"vantak","accounts.bijapur@tvs.in","accounts.bijapur@tvs.in","1","2021-05-02 18:20:58",NULL,NULL,NULL
"22927",NULL,"Express Roadways Pvt L","8722798526",,,"Express Roadways Pvt Ltd","thangaraj.m1@ashoklyland.com","gopi.singh@ashoklyland.com","1","2021-05-02 23:37:20",NULL,NULL,NULL
"22928",NULL,"R SAI LOGISTIC","9340211631",,,"R SAI LOGISTIC","ANC@RSAILOGISTIC.COM","ANC@RSAILOGISTIC.COM","1","2021-05-03 10:49:14",NULL,NULL,NULL
"22929",NULL,"MR JATIN AGARWAL","9825226777",,,"AGARWAL ROADLINES PVT","Umesh.Sah@ashokleyland.com","Sachin.Bonde@ashokleyland.com","1","2021-05-03 11:55:59",NULL,NULL,NULL
"22930",NULL,"R SAI LOGISTICS PVT LTD","6232640996",,,"R SAI LOGISTICS PVT LTD","Shubham.dcy@ashokleyland.com","kuldeep.sagar@ashokleyland.com","1","2021-05-03 12:14:26",NULL,NULL,NULL
"22931",NULL,"r sai logistics","8218617984",,,"r sai logistics",,,"1","2021-05-03 12:23:14",NULL,NULL,NULL
"22932",NULL,"KRISHAN ATUO CENTER","9099072094","02836231711",,"AGRAWAL ROAD LINES  PVT LTD","AgriVirendra.ishwarbhai@ashokleyland.com","Raghuveer.sisodia@ashokleyland.com","1","2021-05-03 12:49:40",NULL,NULL,NULL
"22933",NULL,"KRISHAN ATUO CENTER","9099072094","02836231711",,"AGRAWAL ROAD LINES  PVT LTD","AgriVirendra.ishwarbhai@ashokleyland.com","Raghuveer.sisodia@ashokleyland.com","1","2021-05-03 14:46:17",NULL,NULL,NULL
"22934",NULL,"abhayji","9340211631",,,"r sai logistics","MahammadQadeer.Shaik@ashokleyland.com","Kiran.r@ashokleyland.com","1","2021-05-03 16:12:13",NULL,NULL,NULL
"22935",NULL,"NTC LOGISTIC PVT LTD","9944810651",,,"NTC LOGISTIC PVT LTD","Ashutosh.Ballabh@ashokleyland.com","Gopi.Singh@ashokleyland.com","1","2021-05-03 17:33:20",NULL,NULL,NULL
"22936",NULL,"NTC LOGISTIC PVT LTD","9944810651",,,"NTC LOGISTIC PVT LTD","Ashutosh.Ballabh@ashokleyland.com","Gopi.Singh@ashokleyland.com","1","2021-05-03 17:36:54",NULL,NULL,NULL
"22937",NULL,"MAHESH",,,,"Vraj Cement Carrier LLP",,,"1","2021-05-04 10:55:38",NULL,NULL,NULL
"22941",NULL,"jebstin","7094436483",,,"ramesh iron steel company india pvt ltd",,,"1","2021-05-04 16:05:57",NULL,NULL,NULL
"22938",NULL,"ramesh","7094436483",,,"RAMESH IRON AND STEEL COMPANY","MahammadQadeer.Shaik@ashokleyland.com","Kiran.R@ashokleyland.com","1","2021-05-04 11:30:29",NULL,NULL,NULL
"22939",NULL,"JEBASTIN","7094436483",,,"RAMESH IRON AND STEEL  COMPANY","MahammadQadeer.Shaik@ashokleyland.com","Kiran.R@ashokleyland.com","1","2021-05-04 12:50:48",NULL,NULL,NULL
"22940",NULL,"VRAJ CEMENT CARRIER LLP","9611469221",,,"VRAJ CEMENT CARRIER LLP","SharathKumar.Hadagalikar@ashokleyland.com","Joseph.Paul@ashokleyland.com","1","2021-05-04 13:35:23",NULL,NULL,NULL
"22942",NULL,"PARASMANI ROAD LINES PVT LTD","7014566748",,,"PARASMANI ROAD LINES PVT LTD",,,"1","2021-05-04 17:11:57",NULL,NULL,NULL
"22943",NULL,"raj saini","9099072080",,,"agarwal road line","Princekumar.K@ashokleyland.com","Ravindra.Kumar@ashokleyland.com","1","2021-05-05 17:11:11",NULL,NULL,NULL
"22953",NULL,"G V Gandhi","9490306189",,,"Sri Ram Anjenaya Lowrry Services",,,"1","2021-05-06 20:33:32",NULL,NULL,NULL
"22946",NULL,"BP SAINI","9099072080",,,"agarwal roadlines pvt ltd","Princekumar.K@ashokleyland.com","Ravindra.Kumar@ashokleyland.com","1","2021-05-06 13:46:26",NULL,NULL,NULL
"22959",NULL,"Vraj Cement Carrier LLP","9948180963",,,"Vraj Cement Carrier LLP","Sachin.Bonde@ashokleyland.com","pramod.joshi@ashokleyland.com","1","2021-05-07 11:29:03",NULL,NULL,NULL
